Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],PF Preservation,% Planktic Foraminifera within whole sample,PF Zone,Comments,Beella digitata,Beella praedigitiata,Bolliella adamsi,Candeina nitida,Cassigerinella chipolensis,Catapsydrax dissimillis,Catapsydrax parvulus,Catapsydrax stainforthi,Catapsydrax unicavus,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina altispira globosa,Dentoglobigerina baroemoensis,Dentoglobigerina larmeui,Dentoglobigerina tripartita s. str.,Globigerina anguliofficinalis,Globigerina angustiumbilicata,Globigerina bulloides,Globigerina ciperoensis,Globigerina eamesi,Globigerina euapertura,Globigerina falconensis,Globigerina gnaucki,Globigerina officinalis,Globigerina praebulloides,Globigerina quinqueloba,Globigerina winkleri,Globigerinatella insueta,Globigerinella calida,Globigerinella obesa,Globigerinella praesiphonifera,Globigerinella siphonifera,Globigerinita boweni,Globigerinita glutinata,Globigerinita naparimaensis,Globigerinita uvula,Globigerinoides altiaperturus,Globigerinoides bisphericus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides mitra,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides quadrilobatus,Globigerinoides ruber,Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina cf. binaiensis,Globoquadrina conglomerata,Globoquadrina dehiscens,Globoquadrina sellii,Globoquadrina venezuelana,Globorotalia (Fohsella) fohsi,Globorotalia (Forsella) fohsi lobata,Globorotalia (Fohsella) fohsi robusta,Globorotalia (Fohsella) peripheroacuta,Globorotalia (Fohsella) peripheroronda,Globorotalia (Fohsella) praefohsi,Globorotalia (Globoconella) conoidea,Globorotalia (Globoconella) conomiozea,Globorotalia (Globoconella) inflata,Globorotalia (Globoconella) miozea,Globorotalia (Globoconella) puncticulata,Globorotalia (Globoconella) sphericomiozea,Globorotalia (Hirsutella) cibaoenisis,Globorotalia (Hirsutella) hirsuta,Globorotalia (Hirsutella) margaritae,Globorotalia (Hirsutella) scitula,Globorotalia (Menardella) archeomenardii,Globorotalia (Menardella) cultrata,Globorotalia (Menardella) exilis,Globorotalia (Menardella) fimbriata,Globorotalia (Menardella) limbata,Globorotalia (Menardella) menardii,Globorotalia (Menardella) multicamerata,Globorotalia (Menardella) pertenuis,Globorotalia (Menardella) praemenardii,Globorotalia (Truncorotalia) tosaensis,Globorotalia (Truncorotalia) truncatulinoides,Globorotalia birnageae,Globorotalia crassaformis crassaformis,Globorotalia crassaformis hessi,Globorotalia crassaformis oceanica,Globorotalia crassaformis ronda,Globorotalia crassaformis viola,Globorotalia flexuosa,Globorotalia ichinosekiensis,Globorotalia iwaiensis,Globorotalia lenguaensis,Globorotalia merotumida,Globorotalia plesiotumida,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita decoraperta,Globoturborotalita druryi,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Globoturborotalita woodi connecta,Hastigerina pelagica,Neogloboquadrina acostaensis (D),Neogloboquadrina acostaensis (S),Neogloboquadrina asanoi,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma,Neogloboquadrina pseudopima,Orbulina suturalis,Orbulina universa,Paragloborotalia bella,Paragloborotalia continuosa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia partimlabiata,Paragloborotalia pseudocontinuosa,Paraglobrotalia pseudokugleri,Paragloborotalia semivera,Paragloborotalia siakensis,Praeobulina glomerosa,Praeorbulina circularis,Praeorbulina curva,Praeorbulina sicana,Praeorbulina transitoria,Pulleniatina finalis,Pulleniatina obliquiloculata (D),Pulleniatina obliquiloculata (S),Pulleniatina praecursor,Pulleniatina praespectabilis,Pulleniatina primalis (D),Pulleniatina primalis (S),Pulleniatina spectabilis,Sphaeroidinella dehiscens s.l.,Sphaeroidinellopsis hancocki,Sphaeroidinellopsis multiloba,Sphaeroidinellopsis seminulina,Sphaeroidnellopsis disjuncta,Tenuitella gemma,Tenuitellinata praestainforthi,Turborotalita humilis,Zone,Zone group
321-U1337A-32X-4-W,321,U1337,A,32,32-4,X,4,W,,0,2,294.7,294.72,P,2.0,?,dominant coiling direction of Paragloborotalia is RANDOM; maybe reworked assemblage,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-32X-4-W 38/40-FORAM,321,U1337,A,32,32-4,X,4,W,38/40-FORAM,0,2,295.08,295.1,M,70.0,M5a,dominant coiling direction of Paragloborotalia is RANDOM; maybe reworked assemblage,,,,,,,,,R,,D,R,F,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,R,,,,,P,,,,,,D,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,
321-U1337A-32X-CC,321,U1337,A,32,32-CC,X,CC,,,0,5,297.04,297.09,M,41.0,N10,dominant coiling direction of Paragloborotalia is sinistral,,,,,,,,,R,P,A,P,F,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,P,,R,,,,P,P,,,,F,,D,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-33X-3-W,321,U1337,A,33,33-3,X,3,W,,0,2,302.7,302.72,M,45.0,N10,dominant coiling direction of Paragloborotalia is sinistral,,,,,,,,,,,A,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,P,,D,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-33X-CC,321,U1337,A,33,33-CC,X,CC,,,0,5,309.16,309.21,M,80.0,M6,dominant coiling direction of Paragloborotalia is sinistral,,,,,,,,,P,P,A,P,P,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,F,,R,,,,P,P,,,,P,,D,,,,,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,R,,,,,,,,,,P,P,,P,,P,,,,,,P,,,,P,,,,,,,,,,,,,,R,,,,,
321-U1337A-34X-3-W 63/65-FORAM,321,U1337,A,34,34-3,X,3,W,63/65-FORAM,0,2,312.93,312.95,M,80.0,M5b,infilling; dominant coiling direction of Paragloborotalia is sinistral,,,,,,,,,,,F,P,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,P,,R,,,,R,,,,,P,,D,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,P,,P,,,,,,P,,,P,P,,,,,,,,,,,,,R,F,,,,,
321-U1337A-34X-6-W 63/65-FORAM,321,U1337,A,34,34-6,X,6,W,63/65-FORAM,0,2,317.43,317.45,M,97.0,M5b,dominant coiling direction of Paragloborotalia is random,,,,,,,,,R,,A,,R,R,,,P,,,,,P,,,P,,,P,,,,,,,,,,,,,,,,,P,P,P,,,,R,P,,,,P,,D,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,P,P,,P,R,,,,,,,,,,,,,,,,,,,
321-U1337A-34X-CC,321,U1337,A,34,34-CC,X,CC,,,0,5,318.19,318.24,M,41.0,M5aM5b,dominant coiling direction of Paragloborotalia is random,,,,,,,,,P,,D,R,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,R,,D,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,,R,,,P,R,,,,,,,,,,,,,,,,,,,
321-U1337A-35X-4-W 50/52-FORAM,321,U1337,A,35,35-4,X,4,W,50/52-FORAM,0,2,323.9,323.92,P,42.0,M5a,surface dissolution; dominant coiling direction of Paragloborotalia is random,,,,,,,,,R,,A,,,A,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,,P,,,,R,,,,,,,,,,,,,,,,,,,
321-U1337A-35X-6-W 50/52-FORAM,321,U1337,A,35,35-6,X,6,W,50/52-FORAM,0,2,326.9,326.92,M,60.0,M5a,dominant coiling direction of Paragloborotalia is random,,,,,,,,,R,,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,P,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-35X-CC,321,U1337,A,35,35-CC,X,CC,,,0,5,327.07,327.12,G,60.0,M5a,dominant coiling direction of Paragloborotalia is random,,,,,,,,,R,,A,,P,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,P,,,,R,P,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-36X-2-W 90/92-FORAM,321,U1337,A,36,36-2,X,2,W,90/92-FORAM,0,2,330.9,330.92,M,61.1,M5a,Infilling,,,,,,,,,A,,,P,R,R,D,,,R,,,,,,P,,,,,,,,,,,,,,,,,,,,,,R,,,,,,P,,F,,R,F,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,F,,,R,,R,R,,,,R,,,,,,,,,,,,,,,,,,,
321-U1337A-36X-4-W 90/92-FORAM,321,U1337,A,36,36-4,X,4,W,90/92-FORAM,0,2,333.9,333.92,,0.0,,Barren. Lots of radiolaria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-36X-CC,321,U1337,A,36,36-CC,X,CC,,,0,5,337.97,338.02,P,0.0,,"Effectively barren, very few specimens, all dissolution resistent and infilled",,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-37X-2-W 78/80-FORAM,321,U1337,A,37,37-2,X,2,W,78/80-FORAM,0,2,340.28,340.3,,0.0,,Barren. Lots of radiolaria. Two planktic specimens.,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-37X-4-W,321,U1337,A,37,37-4,X,4,W,,0,2,342.5,342.52,,0.0,,Barren. Lots of radiolaria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-37X-CC,321,U1337,A,37,37-CC,X,CC,,,0,5,347.44,347.49,P,0.0,,"Effectively barren, one specimen of P.pseudocontinuosa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-38X-2-W,321,U1337,A,38,38-2,X,2,W,,0,2,349.1,349.12,G,67.2,M4,Some minor infilling,,,,,,,,,A,,,P,P,F,D,,,R,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,R,,R,,R,R,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-38X-CC,321,U1337,A,38,38-CC,X,CC,,,0,5,352.39,352.44,P,0.0,M4,Encrusted and infilled,,,,,,,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,A,,,F,,,P,,,,,,,,,,,,,,,,,,,P,,,,
321-U1337A-39X-2-W,321,U1337,A,39,39-2,X,2,W,,0,2,358.7,358.72,P,5.5,M4,Infilled. Very siliceous,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-39X-4-W,321,U1337,A,39,39-4,X,4,W,,0,2,361.7,361.72,M,44.9,,No markers. Some infilling,,,,,,,,,A,,,R,,R,A,,,,,,,,,R,,,,,,P,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-39X-CC,321,U1337,A,39,39-CC,X,CC,,,0,5,366.63,366.68,M,3.0,M4,Infilled and fragmented,,,,,,,,,R,,F,R,,R,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,cf. R,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-40X-2-W,321,U1337,A,40,40-2,X,2,W,,0,2,368.3,368.32,M,92.2,M2,Infilled,,,,,,R,,,A,,,,,F,D,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,R,,R,P,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,F,,,R,,R,,,,,,,,,,,,,,,,,,,,P,,,,
321-U1337A-40X-4-W,321,U1337,A,40,40-4,X,4,W,,0,2,371.3,371.32,M,47.8,M1bM2,Infilled,,,,,,P,,,A,,,,P,R,D,R,,,,,,,,P,,,,,,R,,,,,,,,,,,,,,,,F,,,,,,,,R,,R,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,cf. P,F,,,R,,F,,,,,,,,,,,,,,,,,,,,,P,,,
321-U1337A-40X-CC,321,U1337,A,40,40-CC,X,CC,,,0,5,376.21,376.26,G,3.0,M1b or younger,37% benthic foraminifera,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-41X-2-W,321,U1337,A,41,41-2,X,2,W,,0,2,377.9,377.92,M,42.3,M2,Infilled,,,,,,R,,,R,,,F,R,R,D,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,R,F,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-41X-4-W,321,U1337,A,41,41-4,X,4,W,,0,2,380.9,380.92,M,48.1,M2,"Encrusted, some infilling",,,,,,,,,A,,,F,,R,A,P,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,R,R,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,A,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-41X-CC,321,U1337,A,41,41-CC,X,CC,,,0,5,385.86,385.91,M,51.0,M1bM2,Infilled and fragmented,,,,,,R,,,A,,,,P,F,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,R,,R,R,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cf. P,R,,,,cf. P,P,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-42X-2-W 110/112-FORAM,321,U1337,A,42,42-2,X,2,W,110/112-FORAM,0,2,388.6,388.62,M,79.1,M1bM2,Infilled,,,,,,,,,R,,,,R,F,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,R,,R,P,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,cf. P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-42X-4-W 79/81-FORAM,321,U1337,A,42,42-4,X,4,W,79/81-FORAM,0,2,391.29,391.31,M-G,82.8,M1bM2,Some infilling  ,,,,,,R,,,A,,,,F,R,D,,,P,,,,,R,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,R,,R,,R,P,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-42X-CC,321,U1337,A,42,42-CC,X,CC,,,0,5,394.11,394.16,M-G,35.0,M1bM2,Some infilling and fragmentation,,,,,,,,,R,,,,P,R,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,P,cf. P,,P,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-43X-3-W,321,U1337,A,43,43-3,X,3,W,,0,2,398.6,398.62,M,83.1,M1bM2,Some infilling. Very diverse. Paragloborotalia coiling random,,,,,,R,,,A,,,,F,F,D,,,P,,,,,R,,,,,,,P,,,,P,,,,,,,,,,,,R,,,,,,,R,,,R,R,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,,R,cf. P,R,R,,,,,,,,,,,,,,,,,,,P,,,,
321-U1337A-43X-5-W,321,U1337,A,43,43-5,X,5,W,,0,2,401.6,401.62,P,13.0,,Infilled and fragmented,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-43X-CC,321,U1337,A,43,43-CC,X,CC,,,0,5,404.94,404.99,G,53.0,M1b,Some infilling,,,,,P,R,,,A,,,,,A,A,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,P,,,R,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,R,cf. R,A,F,,,,,,,,,,,,,,,,,,,,P,,,
321-U1337A-44X-3-W,321,U1337,A,44,44-3,X,3,W,,0,2,407.9,407.92,P,8.0,,Extensive infilling,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-44X-6-W,321,U1337,A,44,44-6,X,6,W,,0,2,412.4,412.42,M,25.0,M2,Infilled and fragmented,,,,,,,,,A,,,,,R,A,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,R,cf. R,F,R,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-44X-CC,321,U1337,A,44,44-CC,X,CC,,,0,5,414.29,414.34,P,17.0,M1aM1b,Infilled and fragmented,,,,,,,,,A,,,,,R,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,P,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cf. P,R,,,,P,F,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-45X-2-W,321,U1337,A,45,45-2,X,2,W,,0,2,416.0,416.02,P,1.9,M1aM1b,Heavily encrusted and infilled,,,,,,,,,R,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-45X-4-W,321,U1337,A,45,45-4,X,4,W,,0,2,419.0,419.02,M,62.7,M2,"Some infilling, diverse sample",,,,,,,,,R,,,,,F,A,R,,,,P,,,P,,,,,,,P,,,P,,,,,,,,,,,,,R,,,,,,,R,,,F,R,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,A,R,,R,P,R,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-45X-CC,321,U1337,A,45,45-CC,X,CC,,,0,5,423.92,423.97,M,66.0,M1a,"Very diverse, some infilling",,,,,,R,,,F,,,,,R,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,P,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,A,,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-46X-2-W,321,U1337,A,46,46-2,X,2,W,,0,2,425.5,425.52,M-G,94.9,M1aM1b,"Some infilling, very diverse sample",,,,,,R,,,A,,,,R,F,D,R,,,,,,,R,,,,,,,P,P,,,,,,,,,,,,,,,R,,,,,,P,R,,,cf. P,R,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-46X-4-W,321,U1337,A,46,46-4,X,4,W,,0,2,428.5,428.52,M,73.2,M1a,Encrusted and infilled,,,,,,R,,,R,,,,R,F,D,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,R,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,R,P,R,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-46X-CC,321,U1337,A,46,46-CC,X,CC,,,0,5,433.31,433.36,M,17.0,O6M1b,Some infilling,,,,,,R,,,A,,,,,R,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,F,,A,R,F,F,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-47X-2-W,321,U1337,A,47,47-2,X,2,W,,0,2,435.1,435.12,P,30.0,,Entensively encrusted and infilled,,,,,,,,,R,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-47X-4-W,321,U1337,A,47,47-4,X,4,W,,0,2,438.1,438.12,M,43.5,M1a,Encrusted and infilled,,,,,,R,,,F,,,,,F,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,R,,,R,P,R,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-47X-CC,321,U1337,A,47,47-CC,X,CC,,,0,5,442.98,443.03,M,43.0,M1a,"Very diverse, some infilling",,,,,,R,,,F,,,,,R,A,R,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,R,,,F,R,R,,,,,,,,,,,,,,,,,,,P,R,,,
321-U1337A-48X-2-W,321,U1337,A,48,48-2,X,2,W,,0,2,444.7,444.72,M,62.9,M1a,Some infilling,,,,,,,,,A,,,,R,F,D,P,,R,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,R,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,R,,R,P,F,R,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-48X-4-W,321,U1337,A,48,48-4,X,4,W,,0,2,447.7,447.72,M-P,5.6,O6,Infilled and encrusted,,,,,,R,,,A,,,,,F,D,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,R,,R,,,,,,,,,,,,,,,,,,,,P,,,,
321-U1337A-48X-CC,321,U1337,A,48,48-CC,X,CC,,,0,5,449.17,449.22,P,2.0,O6,Encrusted and infilled,,,,,,,,,P,,,,,P,P,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,P,P,P,,,,,,,,,,,,,,,,,,,,P,,,,
